arm,agent_id,tick,thread_id,offer_usd,list_price_usd,category,joined,thread_post_fork,offer_ratio
baseline,51,379,4630,9.0,10.0,electronics-audio,True,True,0.9
baseline,51,443,4736,12.0,15.0,home-goods,True,True,0.8
baseline,56,428,4724,20.0,25.0,electronics-phones,True,True,0.8
baseline,61,375,4621,27.0,28.0,home-goods,True,True,0.9642857142857143
baseline,61,377,4626,27.0,28.0,home-goods,True,True,0.9642857142857143
baseline,61,377,4627,53.0,55.0,home-goods,True,True,0.9636363636363636
baseline,61,403,4640,28.0,28.0,home-goods,True,True,1.0
baseline,61,403,4593,35.0,35.0,home-goods,True,False,1.0
baseline,61,403,4664,15.0,18.0,home-goods,True,True,0.8333333333333334
baseline,61,404,4665,28.0,28.0,home-goods,True,True,1.0
baseline,61,404,4626,28.0,28.0,home-goods,True,True,1.0
baseline,61,404,4629,28.0,28.0,home-goods,True,True,1.0
baseline,61,404,4664,15.0,18.0,home-goods,True,True,0.8333333333333334
baseline,61,405,4671,28.0,28.0,home-goods,True,True,1.0
baseline,61,405,4664,15.0,18.0,home-goods,True,True,0.8333333333333334
baseline,61,406,4672,28.0,28.0,home-goods,True,True,1.0
baseline,61,406,4671,28.0,28.0,home-goods,True,True,1.0
baseline,61,408,4691,35.0,45.0,home-goods,True,True,0.7777777777777778
baseline,61,411,4699,12.0,15.0,home-goods,True,True,0.8
baseline,61,412,4699,12.0,15.0,home-goods,True,True,0.8
baseline,61,439,4699,14.0,15.0,home-goods,True,True,0.9333333333333333
baseline,61,439,4691,42.0,45.0,home-goods,True,True,0.9333333333333333
baseline,61,439,4573,12.0,15.0,home-goods,True,False,0.8
baseline,61,439,4731,20.0,25.0,home-goods,True,True,0.8
baseline,66,391,4645,35.0,45.0,electronics-phones,True,True,0.7777777777777778
baseline,66,413,4694,135.0,150.0,electronics-phones,True,True,0.9
baseline,71,404,4668,95.0,115.0,electronics-tablets,True,True,0.8260869565217391
baseline,71,435,4730,220.0,240.0,electronics-tablets,True,True,0.9166666666666666
baseline,76,407,4679,8.0,9.0,electronics-audio,True,True,0.8888888888888888
baseline,86,374,4592,14.0,15.0,electronics-audio,True,False,0.9333333333333333
baseline,86,411,4693,8.25,8.99,electronics-audio,True,True,0.9176863181312569
baseline,96,401,4658,230.0,280.0,electronics-phones,True,True,0.8214285714285714
pressure,1,389,4650,220.0,235.0,electronics-phones,True,True,0.9361702127659575
pressure,1,397,4655,165.0,180.0,electronics-phones,True,True,0.9166666666666666
pressure,1,398,4655,165.0,180.0,electronics-phones,True,True,0.9166666666666666
pressure,1,399,4655,165.0,180.0,electronics-phones,True,True,0.9166666666666666
pressure,1,400,4655,165.0,180.0,electronics-phones,True,True,0.9166666666666666
pressure,1,411,4689,160.0,200.0,electronics-phones,True,True,0.8
pressure,1,412,4692,120.0,150.0,electronics-phones,True,True,0.8
pressure,1,441,4726,165.0,180.0,electronics-phones,True,True,0.9166666666666666
pressure,1,441,4689,160.0,200.0,electronics-phones,True,True,0.8
pressure,6,437,4727,6.0,8.0,home-goods,True,True,0.75
pressure,21,403,4666,0.13,15.0,electronics-cameras,True,True,0.008666666666666666
pressure,21,403,4667,0.16,19.0,electronics-cameras,True,True,0.008421052631578947
pressure,21,410,4667,16.5,19.0,electronics-cameras,True,True,0.868421052631579
pressure,21,420,4697,0.23,25.0,electronics-cameras,True,True,0.0092
pressure,21,421,4706,0.18,22.0,electronics-cameras,True,True,0.00818181818181818
pressure,21,423,4710,33.0,35.0,electronics-cameras,True,True,0.9428571428571428
pressure,36,417,4699,70.0,85.0,electronics-phones,True,True,0.8235294117647058
pressure,36,417,4701,100.0,120.0,electronics-phones,True,True,0.8333333333333334
pressure,36,425,4718,30.0,40.0,electronics-phones,True,True,0.75
pressure,36,426,4718,30.0,40.0,electronics-phones,True,True,0.75
pressure,36,428,4718,30.0,40.0,electronics-phones,True,True,0.75
pressure,36,429,4718,30.0,40.0,electronics-phones,True,True,0.75
pressure,36,436,4718,35.0,40.0,electronics-phones,True,True,0.875
pressure,36,453,4699,80.0,85.0,electronics-phones,True,True,0.9411764705882353
pressure,36,455,4718,38.0,40.0,electronics-phones,True,True,0.95
pressure,41,373,4609,7.0,8.0,home-goods,True,False,0.875
pressure,46,403,4668,20.0,27.99,electronics-phones,True,True,0.7145409074669525
pressure,46,404,4669,25.0,34.99,electronics-phones,True,True,0.7144898542440697
pressure,46,437,4730,6.0,8.0,electronics-phones,True,True,0.75
pressure,46,439,4730,6.0,8.0,electronics-phones,True,True,0.75
pressure,46,441,4730,6.0,8.0,electronics-phones,True,True,0.75
pressure,51,377,4627,15.0,18.0,home-goods,True,True,0.8333333333333334
pressure,51,379,4627,15.0,18.0,home-goods,True,True,0.8333333333333334
pressure,61,375,4623,27.0,28.0,home-goods,True,True,0.9642857142857143
pressure,61,377,4625,27.0,28.0,home-goods,True,True,0.9642857142857143
pressure,61,380,4637,15.0,18.0,home-goods,True,True,0.8333333333333334
pressure,61,380,4628,50.0,55.0,home-goods,True,True,0.9090909090909091
pressure,61,382,4637,15.0,18.0,home-goods,True,True,0.8333333333333334
pressure,61,384,4637,15.0,18.0,home-goods,True,True,0.8333333333333334
pressure,61,408,4590,10.0,10.0,home-goods,True,False,1.0
pressure,61,417,4637,15.0,18.0,home-goods,True,True,0.8333333333333334
pressure,61,417,4573,12.0,15.0,home-goods,True,False,0.8
pressure,61,418,4702,25.0,32.0,home-goods,True,True,0.78125
pressure,61,418,4703,28.0,35.0,home-goods,True,True,0.8
pressure,66,388,4649,120.0,150.0,electronics-phones,True,True,0.8
pressure,71,401,4424,90.0,100.0,electronics-tablets,True,False,0.9
pressure,71,412,4688,1.16,130.0,electronics-tablets,True,True,0.008923076923076922
pressure,71,422,4707,118.0,130.0,electronics-tablets,True,True,0.9076923076923077
pressure,71,424,4716,100.0,115.0,electronics-tablets,True,True,0.8695652173913043
pressure,71,424,4717,210.0,249.99,electronics-tablets,True,True,0.8400336013440537
pressure,71,425,4716,100.0,115.0,electronics-tablets,True,True,0.8695652173913043
pressure,71,425,4717,210.0,249.99,electronics-tablets,True,True,0.8400336013440537
pressure,71,430,4707,120.0,130.0,electronics-tablets,True,True,0.9230769230769231
pressure,71,437,4716,110.0,115.0,electronics-tablets,True,True,0.9565217391304348
pressure,71,437,4717,225.0,249.99,electronics-tablets,True,True,0.9000360014400576
pressure,71,438,4716,110.0,115.0,electronics-tablets,True,True,0.9565217391304348
pressure,86,374,4592,14.0,15.0,electronics-audio,True,False,0.9333333333333333
pressure,86,389,4648,8.5,8.99,electronics-audio,True,True,0.9454949944382647
pressure,86,401,4659,6.0,8.0,electronics-audio,True,True,0.75
pressure,86,401,4660,10.0,12.59,electronics-audio,True,True,0.7942811755361397
pressure,86,417,4700,18.0,25.0,electronics-audio,True,True,0.72
pressure,86,430,4721,20.0,25.0,electronics-audio,True,True,0.8
pressure,91,388,4650,200.0,235.0,electronics-phones,True,True,0.851063829787234
pressure,91,388,4651,120.0,150.0,electronics-phones,True,True,0.8
pressure,91,408,4669,32.0,34.99,electronics-phones,True,True,0.9145470134324092
pressure,91,411,4690,160.0,200.0,electronics-phones,True,True,0.8
pressure,96,401,4662,150.0,180.0,electronics-phones,True,True,0.8333333333333334
pressure,96,435,4726,150.0,180.0,electronics-phones,True,True,0.8333333333333334
